City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Tutoia,BR,84.18,heavy intensity rain,-2.7619,-42.2744,Pousada Guará's
494,Umarizal,BR,83.26,overcast clouds,-5.9906,-37.8144,Pousada Sossego
495,Singkawang,ID,75.0,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
500,Sibolga,ID,73.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
502,Chiredzi,ZW,75.06,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
503,Ambilobe,MG,76.44,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
504,Gamboma,CG,76.51,overcast clouds,-1.8764,15.8644,Residence N'Keni
506,Ponnani,IN,74.52,broken clouds,10.767,75.9252,Rouba Residency
511,Bac Lieu,VN,78.3,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
512,Conceicao Do Araguaia,BR,81.32,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
517,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
518,Auki,SB,80.46,overcast clouds,-8.7676,160.7034,Auki Motel
521,Tocopilla,CL,73.06,few clouds,-22.092,-70.1979,Hotel Galvarino
528,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
530,Ormara,PK,70.92,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
533,Axim,GH,79.61,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
535,Gigmoto,PH,75.74,light rain,13.7796,124.39,Cj's Travellers Inn
537,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
538,Carutapera,BR,77.05,overcast clouds,-1.195,-46.02,Lidera
540,Benguela,AO,75.02,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
541,Oussouye,SN,84.38,clear sky,12.485,-16.5469,Auberge du Routard
546,Vila Do Maio,CV,74.19,clear sky,15.1333,-23.2167,Hotel Marilu
551,Alindao,CF,79.65,broken clouds,5.0267,21.2088,OCHA Alindao
557,Kudahuvadhoo,MV,81.45,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
559,Arinos,BR,79.2,light rain,-15.9169,-46.1056,casa do bruno
563,Bull Savanna,JM,77.76,scattered clouds,17.8868,-77.5902,Big Red's
566,Danli,HN,83.55,scattered clouds,14.0333,-86.5833,Cielo
570,Antalaha,MG,76.93,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
572,Mabaruma,GY,80.31,few clouds,8.2,-59.7833,Monty Brooms Guest House
574,Iquique,CL,71.64,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
582,Kirakira,SB,81.79,overcast clouds,-10.4544,161.9205,SanBiz Lodge
585,Ferkessedougou,CI,78.51,scattered clouds,9.6,-5.2,Hotel Chateau
588,Clarence Town,AU,70.81,broken clouds,-32.5833,151.7833,River Downs Cottage
589,Acarau,BR,80.74,overcast clouds,-2.8856,-40.12,castelo pizzaria
590,Ambon,ID,80.69,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
598,Imbituba,BR,80.82,light rain,-28.24,-48.6703,Praia Hotel Imbituba
606,Batticaloa,LK,75.24,few clouds,7.7102,81.6924,Grand Star Guest House
607,Upington,ZA,77.38,clear sky,-28.4478,21.2561,River Place Manor
608,Nanga Eboko,CM,71.6,few clouds,4.6833,12.3667,Motel Papi Palace
611,Saint-Pierre,RE,80.24,broken clouds,-21.3393,55.4781,Lindsey Hôtel
613,Lorengau,PG,80.65,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
619,Cukai,MY,80.55,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
620,Charters Towers,AU,72.12,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
621,Tevaitoa,PF,80.35,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
624,Moron,AR,82.29,light rain,-34.6534,-58.6198,Hotel Morón
625,Santa Fe,AR,83.01,light rain,-31.6333,-60.7,Conquistador Hotel
631,Salta,AR,81.19,thunderstorm,-24.7859,-65.4117,Hotel Alejandro I
633,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
637,Tagusao,PH,77.52,scattered clouds,9.1924,117.8141,Green Villa beach resort
639,Monrovia,LR,80.37,scattered clouds,6.3005,-10.7969,Sunset Inn
643,Sechura,PE,80.69,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
645,Bentiu,SS,80.71,broken clouds,9.2333,29.8333,Mandela hôtel
651,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
659,Honiara,SB,80.67,overcast clouds,-9.4333,159.95,Heritage Park Hotel
660,Mandera,KE,81.88,scattered clouds,3.9366,41.867,Mwalimu Guest mandera
661,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
662,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
663,Diamantino,BR,83.8,moderate rain,-14.4086,-56.4461,Hotel Delta
666,Mocuba,MZ,71.47,overcast clouds,-16.8392,36.9856,Phama Lodge
668,Fontem,CM,73.83,broken clouds,5.4685,9.8818,Vista Palace Hotel
675,Nelson Bay,AU,70.95,light rain,-32.7167,152.15,Mantra Nelson Bay
679,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
683,Huarmey,PE,75.52,few clouds,-10.0681,-78.1522,Hotel Miramar
687,Coruripe,BR,80.22,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
688,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
689,Cocal,BR,73.78,heavy intensity rain,-28.6167,-49.35,Motel Tropical
691,Iralaya,HN,81.46,clear sky,15.0,-83.2333,Iglesia morava renovada
696,Mahibadhoo,MV,81.59,scattered clouds,3.7833,72.9667,Omadhoo Inn
